time	VR	Vout	Vin
1.952664642826028e-03	-5.371932e-01	-4.615108e-01	-9.987040e-01
1.967731607111742e-03	-4.915141e-01	-4.997224e-01	-9.912366e-01
1.982798571397456e-03	-4.421296e-01	-5.344710e-01	-9.766006e-01
1.997865535683170e-03	-3.890396e-01	-5.657564e-01	-9.547960e-01
2.012932499968885e-03	-3.322440e-01	-5.935787e-01	-9.258227e-01
2.021861071397456e-03	-2.977072e-01	-6.077116e-01	-9.054188e-01
2.030789642826028e-03	-2.626392e-01	-6.202280e-01	-8.828672e-01
2.039718214254599e-03	-2.270399e-01	-6.311279e-01	-8.581678e-01
2.048646785683170e-03	-1.909094e-01	-6.404113e-01	-8.313207e-01
2.057575357111742e-03	-1.542477e-01	-6.480781e-01	-8.023258e-01
2.066503928540313e-03	-1.170547e-01	-6.541285e-01	-7.711832e-01
2.075432499968885e-03	-7.933056e-02	-6.585623e-01	-7.378929e-01
2.094963749968885e-03	3.254712e-03	-6.622806e-01	-6.590258e-01
2.100544107111742e-03	2.694581e-02	-6.618548e-01	-6.349090e-01
2.106124464254599e-03	5.055154e-02	-6.607747e-01	-6.102231e-01
2.111704821397456e-03	7.407189e-02	-6.590401e-01	-5.849682e-01
2.117285178540313e-03	9.750687e-02	-6.566511e-01	-5.591442e-01
2.122865535683170e-03	1.208565e-01	-6.536077e-01	-5.327512e-01
2.128445892826028e-03	1.441207e-01	-6.499098e-01	-5.057891e-01
2.134026249968885e-03	1.672996e-01	-6.455575e-01	-4.782580e-01
2.143512857111742e-03	2.064768e-01	-6.366007e-01	-4.301239e-01
2.152999464254599e-03	2.447917e-01	-6.259040e-01	-3.811123e-01
2.162486071397456e-03	2.822442e-01	-6.134674e-01	-3.312232e-01
2.171972678540313e-03	3.188344e-01	-5.992909e-01	-2.804565e-01
2.181459285683170e-03	3.545622e-01	-5.833745e-01	-2.288124e-01
2.190945892826028e-03	3.894276e-01	-5.657183e-01	-1.762907e-01
2.200432499968885e-03	4.234307e-01	-5.463221e-01	-1.228914e-01
2.204338749968885e-03	4.369915e-01	-5.379086e-01	-1.009172e-01
2.208244999968885e-03	4.503231e-01	-5.292436e-01	-7.892053e-02
2.212151249968885e-03	4.634256e-01	-5.203271e-01	-5.690151e-02
2.216057499968885e-03	4.762990e-01	-5.111591e-01	-3.486012e-02
2.219963749968885e-03	4.889432e-01	-5.017395e-01	-1.279636e-02
2.223869999968885e-03	5.013582e-01	-4.920684e-01	9.289779e-03
2.227776249968885e-03	5.135441e-01	-4.821458e-01	3.139829e-02
2.235030714254599e-03	5.355591e-01	-4.630307e-01	7.252840e-02
2.242285178540313e-03	5.565893e-01	-4.432232e-01	1.133661e-01
2.249539642826028e-03	5.766348e-01	-4.227233e-01	1.539115e-01
2.256794107111742e-03	5.956955e-01	-4.015310e-01	1.941645e-01
2.264048571397457e-03	6.137715e-01	-3.796464e-01	2.341251e-01
2.271303035683171e-03	6.308628e-01	-3.570695e-01	2.737933e-01
2.278557499968885e-03	6.469693e-01	-3.338001e-01	3.131692e-01
2.288602142826028e-03	6.674784e-01	-3.005039e-01	3.669744e-01
2.298646785683171e-03	6.857092e-01	-2.665190e-01	4.191901e-01
2.308691428540313e-03	7.016617e-01	-2.318455e-01	4.698162e-01
2.318736071397457e-03	7.153360e-01	-1.964832e-01	5.188528e-01
2.328780714254599e-03	7.267321e-01	-1.604323e-01	5.662998e-01
2.338825357111742e-03	7.358499e-01	-1.236926e-01	6.121572e-01
2.348869999968885e-03	7.426894e-01	-8.626433e-02	6.564251e-01
2.372307499968885e-03	7.490702e-01	1.268080e-03	7.503383e-01
2.377887857111742e-03	7.486465e-01	2.221527e-02	7.708618e-01
2.383468214254599e-03	7.474825e-01	4.308860e-02	7.905711e-01
